2026-01-11 05:28:33,732 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:28:33,866 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:29:30,663 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:29:30,793 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:30:31,807 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:30:31,983 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:31:37,084 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:31:37,242 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:32:44,692 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:32:44,874 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:33:55,663 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:33:55,838 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:35:11,403 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:35:11,554 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:36:06,374 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:36:06,499 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:36:52,296 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:36:52,471 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:37:49,624 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:37:49,839 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:38:49,453 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:38:49,629 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:39:52,704 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:39:52,857 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:40:57,377 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:40:57,515 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:42:06,665 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:42:06,810 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:43:07,607 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:43:07,734 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:44:24,773 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:44:24,908 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:45:35,039 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:45:35,196 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:46:51,634 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:46:51,752 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:48:10,150 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:48:10,310 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:49:33,178 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:49:33,383 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:51:01,068 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:51:01,217 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:52:30,034 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:52:30,203 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:53:58,562 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:53:58,727 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:55:31,803 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:55:31,948 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 05:56:50,106 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 05:56:50,235 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
